console,genre,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_year
X360,Adventure,9.1,2.73,1.55,0.02,0.92,0.24,2011
XOne,Shooter,8.7,2.72,1.63,0.04,0.84,0.25,2016
PS4,Racing,7.0,2.72,0.59,0.06,1.66,0.41,2015
XOne,Shooter,7.5,2.71,1.62,0.04,0.84,0.25,2015
X360,Sports,8.3,2.71,1.47,0.04,0.99,0.25,2010
PS3,Sports,8.3,2.71,2.12,0.04,0.24,0.36,2012
X360,Sports,7.8,2.7,2.43,0.04,0.11,0.16,2011
X360,Shooter,8.0,2.7,1.49,0.02,0.92,0.27,2006
PS2,Action,8.4,2.69,1.85,0.01,0.64,0.19,2006
X360,Sports,8.3,2.69,2.38,0.04,0.12,0.19,2010
PS2,Racing,9.3,2.68,1.23,0.04,1.11,0.34,2004
GEN,Fighting,7.5,2.67,1.95,0.04,0.63,0.09,1993
PS,Shooter,9.3,2.67,1.44,0.04,1.09,0.14,1999
PS2,Shooter,8.5,2.67,1.48,0.01,0.92,0.26,2005
PS3,Role-Playing,8.3,2.66,0.78,0.89,0.75,0.23,2012
PSP,Shooter,6.7,2.66,0.86,0.01,1.11,0.67,2006
X360,Misc,8.6,2.66,1.78,0.04,0.64,0.25,2008
PS2,Fighting,7.5,2.66,1.32,0.04,1.29,0.01,2002
PS2,Action,7.5,2.65,1.15,0.04,1.11,0.4,2003
PS3,Racing,8.2,2.65,0.69,0.04,1.4,0.52,2009
DS,Action,6.5,2.65,1.59,0.04,0.8,0.26,2006
X360,Shooter,7.3,2.64,1.58,0.04,0.8,0.22,2010
X360,Sports,9.1,2.64,2.32,0.01,0.14,0.17,2011
PS2,Racing,7.5,2.63,2.0,0.02,0.47,0.14,2000
PS4,Sports,7.5,2.63,1.69,0.03,0.44,0.47,2018
PS3,Sports,8.9,2.63,1.74,0.05,0.46,0.39,2012
X360,Sports,8.9,2.62,0.6,0.01,1.79,0.23,2009
PS2,Sports,7.5,2.62,2.15,0.04,0.12,0.36,2004
PS4,Sports,8.2,2.62,1.73,0.04,0.42,0.47,2017
PSP,Platform,8.8,2.61,0.65,0.01,1.27,0.68,2009
PS2,Adventure,7.5,2.61,0.9,0.04,1.22,0.44,2002
X360,Adventure,9.0,2.6,1.08,0.03,1.22,0.27,2009
GEN,Action,7.5,2.6,1.86,0.11,0.55,0.08,1990
PS3,Sports,8.6,2.59,0.49,0.04,1.63,0.43,2008
PS2,Sports,7.5,2.59,2.03,0.04,0.21,0.35,2004
XOne,Shooter,7.5,2.59,1.54,0.04,0.82,0.24,2016
X360,Action,7.5,2.59,1.53,0.04,0.83,0.24,2007
PS2,Fighting,8.0,2.58,1.4,0.03,0.88,0.26,2006
Wii,Misc,7.5,2.58,1.49,0.04,0.86,0.23,2012
PS2,Sports,7.5,2.57,2.14,0.04,0.08,0.35,2007
X360,Sports,7.5,2.57,2.11,0.0,0.19,0.27,2013
X360,Role-Playing,8.5,2.56,1.76,0.03,0.55,0.22,2009
PS,Sports,7.5,2.56,0.26,2.13,0.17,0.01,1998
